feature	rf_importance	rf_importance_norm
comp_frac_disorder_promoting	0.035904678998354096	0.035904678998354096
comp_frac_P	0.02919445577926147	0.02919445577926147
comp_frac_S	0.029151516822045993	0.029151516822045993
comp_frac_hydrophobic	0.02767384288300173	0.02767384288300173
comp_frac_W	0.02765427405125584	0.02765427405125584
comp_hydropathy_KD	0.027609295467757283	0.027609295467757283
comp_PPII	0.026148543930031177	0.026148543930031177
comp_frac_L	0.025787375528702212	0.025787375528702212
comp_cum_patch_P	0.021601992900186863	0.021601992900186863
pat_pol_pol	0.02122886148974141	0.02122886148974141
comp_frac_T	0.020607973518202115	0.020607973518202115
comp_frac_V	0.02027329553686518	0.02027329553686518
comp_frac_A	0.02019496024722375	0.02019496024722375
comp_frac_Q	0.019414614863645874	0.019414614863645874
comp_frac_G	0.019050228571674963	0.019050228571674963
comp_pI	0.019003573960990276	0.019003573960990276
comp_frac_C	0.01857002087607257	0.01857002087607257
pat_hyd_hyd	0.018126767959964558	0.018126767959964558
comp_cum_patch_Q	0.018004872994729113	0.018004872994729113
comp_cum_patch_S	0.01739151014650391	0.01739151014650391
comp_cum_patch_G	0.01645138284364779	0.01645138284364779
pat_neg_neg	0.016396318664288225	0.016396318664288225
pat_pol_neg	0.016085797707894645	0.016085797707894645
comp_frac_I	0.01607448865407105	0.01607448865407105
comp_NCPR	0.016073767976448057	0.016073767976448057
comp_frac_DE	0.015977474615393207	0.015977474615393207
pat_pol_hyd	0.015666598718747815	0.015666598718747815
comp_frac_polar	0.015438493132371348	0.015438493132371348
comp_frac_E	0.015302991891256957	0.015302991891256957
comp_frac_D	0.015269418341578325	0.015269418341578325
comp_frac_aromatic	0.01507863142943204	0.01507863142943204
comp_frac_M	0.014939626126315867	0.014939626126315867
comp_frac_KR	0.014650917677035427	0.014650917677035427
pat_pos_neg	0.014455095777437242	0.014455095777437242
comp_frac_N	0.0144040866057585	0.0144040866057585
comp_FCE	0.013872661225952446	0.013872661225952446
pat_hyd_neg	0.013782117699520173	0.013782117699520173
comp_FCR	0.013753552572436462	0.013753552572436462
comp_frac_H	0.013602904707595821	0.013602904707595821
comp_frac_K	0.013529774689034936	0.013529774689034936
comp_frac_R	0.01322370782124415	0.01322370782124415
comp_frac_Y	0.012913777002778692	0.012913777002778692
comp_frac_F	0.012418285254581045	0.012418285254581045
pat_pol_pos	0.012245916063950577	0.012245916063950577
pat_pos_pos	0.012172550936292489	0.012172550936292489
comp_cum_patch_A	0.010415704353566273	0.010415704353566273
comp_cum_patch_E	0.009945734347204811	0.009945734347204811
pat_hyd_pos	0.009504121531830846	0.009504121531830846
comp_cum_patch_D	0.007887053706906897	0.007887053706906897
comp_cum_patch_R	0.007770779724675173	0.007770779724675173
comp_cum_patch_V	0.007505314877154409	0.007505314877154409
comp_cum_patch_L	0.007369486456019534	0.007369486456019534
comp_cum_patch_T	0.007319468135099659	0.007319468135099659
pat_hyd_ala	0.006807031996058569	0.006807031996058569
comp_cum_patch_K	0.006733532792565455	0.006733532792565455
pat_ala_ala	0.005313727521819294	0.005313727521819294
pat_pol_ala	0.005229651413985175	0.005229651413985175
comp_cum_patch_I	0.005163350580047564	0.005163350580047564
pat_pol_gly	0.004784991124824344	0.004784991124824344
pat_gly_gly	0.004759202325312399	0.004759202325312399
comp_cum_patch_N	0.004676944223555502	0.004676944223555502
comp_cum_patch_F	0.0036280658960068215	0.0036280658960068215
pat_hyd_aro	0.0033581992303226564	0.0033581992303226564
pat_pol_aro	0.0033309823142445615	0.0033309823142445615
comp_cum_patch_H	0.003212978669702149	0.003212978669702149
pat_aro_aro	0.0030878962297024967	0.0030878962297024967
comp_ratio_ED	0.0029481158783645615	0.0029481158783645615
pat_hyd_gly	0.0029258500413034566	0.0029258500413034566
pat_pro_pro	0.002921162355234272	0.002921162355234272
pat_neg_ala	0.0028929899562605056	0.0028929899562605056
comp_ratio_RK	0.0028061045754522074	0.0028061045754522074
comp_cum_patch_Y	0.0027854769830250314	0.0027854769830250314
pat_pos_ala	0.002753228131590755	0.002753228131590755
pat_pol_pro	0.002734161925147432	0.002734161925147432
pat_neg_aro	0.002686527499558563	0.002686527499558563
pat_neg_gly	0.0022913841538586993	0.0022913841538586993
pat_hyd_pro	0.0021948646581978824	0.0021948646581978824
pat_pos_aro	0.00217524310930881	0.00217524310930881
comp_cum_patch_M	0.0019108893252987118	0.0019108893252987118
pat_pos_gly	0.0018322159744489398	0.0018322159744489398
comp_cum_patch_W	0.0014999988598689566	0.0014999988598689566
comp_cum_patch_C	0.0014700834329725422	0.0014700834329725422
pat_ala_gly	0.0013677176667031827	0.0013677176667031827
pat_neg_pro	0.001237286229176218	0.001237286229176218
pat_pos_pro	0.0011633789747520205	0.0011633789747520205
pat_ala_pro	0.0011099488488437398	0.0011099488488437398
pat_aro_ala	0.0008026773039125319	0.0008026773039125319
pat_pro_gly	0.0006946140655386878	0.0006946140655386878
pat_aro_gly	0.0005494530872229913	0.0005494530872229913
pat_aro_pro	6.941485208105638e-05	6.941485208105638e-05
